ID	Individual_ID	Individual_code	Locality	Species_name	Zone	SLA	LA	LDMC	Thickness
81	140071	Q02-NEAU-02	Q02	Neolitsea acuminatissima	Q	15.71083261	1041.150333	486.0083189	0.179166668
82	140072	Q02-PRPH-03	Q02	Prunus phaeosticta	Q	11.90142137	1286.687667	444.8237628	0.275833336
83	140073	Q02-VITA-02	Q02	Viburnum taitoense	Q	16.48744296	1446.152667	367.6479537	0.263333334
85	140075	Q02-CISU-01	Q02	Cinnamomum subavenium	Q	7.461701401	1322.985667	564.9753461	0.613333332
86	140076	Q02-CISU-02	Q02	Cinnamomum subavenium	Q	8.060921968	839.463	484.4929304	0.657500004
87	140077	Q01-PAHA-01	Q01	Pasania harlandii	Q	6.148097567	5858.321	504.4273181	0.624166667
88	140078	Q01-LIUR-02	Q01	Limlia uraiana	Q	7.797226732	1399.404333	481.3829707	0.313333333
89	140079	U01-CACU-01	U01	Castanopsis cuspidata v. carlesii	U	9.312300022	1576.212667	509.8942455	0.359166669
90	140080	U01-CYSE-01	U01	Cyclobalanopsis sessilifolia	U	6.145112334	1311.049	515.8074906	0.591666664
91	140081	U01-RHLE-01	U01	Rhododendron leptosanthum	U	11.40124492	2308.384	370.3680727	0.318333335
92	140082	U01-PRPH-01	U01	Prunus phaeosticta	U	11.15697448	1279.044667	441.830727	0.305833335
93	140083	U01-NEAU-01	U01	Neolitsea acuminatissima	U	10.79469239	872.3556667	544.9759855	0.224999999
94	140084	U01-OSEN-01	U01	Osmanthus enervius	U	9.303064311	1258.187333	437.565247	0.349166669
95	140085	U01-ILGO-01	U01	Ilex goshiensis	U	10.14749634	436.2681667	414.8011504	0.384166663
96	140086	U01-TRAR-01	U01	Trochodendron aralioides	U	8.376495071	2789.109	418.765837	0.359999999
97	140087	U01-CYSE-02	U01	Cyclobalanopsis sessilifolia	U	7.138366262	2205.846667	494.2899366	0.43583333
98	140088	U01-NEAU-02	U01	Neolitsea acuminatissima	U	10.43415994	989.7033333	578.6170499	0.234166666
99	140089	U01-SYMO-01	U01	Symplocos morrisonicola	U	16.99718381	454.2151667	324.7125649	0.240833332
101	140090	U01-MADO-01	U01	Malus doumeri	U	13.79976008	1938.049333	493.2290966	0.254166665
102	140091	U01-CYMO-01	U01	Cyclobalanopsis morii	U	7.05289336	2616.722333	502.9550204	0.381666665
103	140092	U01-EUGL-01	U01	Eurya glaberrima	U	10.59180158	1463.985	385.4436559	0.278333336
104	140093	U01-SYMI-01	U01	Symplocos migoi	U	13.7517391	875.5843333	388.6906063	0.241666665
105	140094	U01-CLJA-01	U01	Cleyera japonica v. taipinensis	U	7.273673243	1485.08	400.0743579	0.469166661
106	140095	U01-ACPA-01	U01	Acer palmatum v. pubescens	U	20.3731953	1619.315667	398.4716484	0.152500005
107	140096	U01-ILLO-01	U01	Ilex lonicerifolia	U	9.774406499	1579.283	405.8482481	0.356666667
108	140097	U01-CYMO-02	U01	Cyclobalanopsis morii	U	8.574962788	2141.245	491.163095	0.323333333
109	140098	U01-ACPA-02	U01	Acer palmatum v. pubescens	U	23.35664391	1885.199667	455.564691	0.122499997
110	140099	U01-EULO-01	U01	Eurya loquaiana	U	14.35543092	1076.240333	404.4212946	0.218333331
111	140100	U01-SYWI-01	U01	Symplocos wikstroemiifolia	U	16.4085865	1219.700333	286.7876822	0.254166665
112	140101	U01-OSHE-01	U01	Osmanthus heterophyllus	U	7.940155635	1694.243	485.6386266	0.451666663
113	140102	U01-TEGY-01	U01	Ternstroemia gymnanthera	U	13.7155285	1026.996333	287.5837735	0.429166665
114	140103	U01-CATE-01	U01	Camellia tenuifolia	U	9.454701068	588.9693333	431.7082533	0.360833332
115	140104	U01-ACPA-03	U01	Acer palmatum v. pubescens	U	22.19352115	1850.523667	427.7857065	0.139166667
116	140105	U01-EUCR-01	U01	Eurya crenatifolia	U	14.66101024	202.2878333	389.0602954	0.240833332
117	140106	U01-CACU-02	U01	Castanopsis cuspidata v. carlesii	U	9.146899516	1447.331667	483.5519331	0.296666669
118	140107	U01-CYSE-03	U01	Cyclobalanopsis sessilifolia	U	8.270311728	1970.089333	501.4227262	0.299166664
119	140108	U01-PRCA-01	U01	Prunus campanulata	U	14.32621339	1950.362	500.333258	0.241666667
120	140109	U01-DEDE-01	U01	Dendropanax dentiger	U	18.47322742	2315.674	269.5276175	0.237499997
121	140110	U01-SYCA-01	U01	Symplocos caudata	U	15.51247665	1087.314	287.845034	0.289166667
122	140111	U01-VIFO-01	U01	Viburnum foetidum v. rectangulatum	U	18.00435452	1230.667667	363.3931921	0.229999998
125	140113	Q03-MAJA-01	Q03	Machilus japonica	Q	9.828557771	2917.465667	459.882935	0.290833334
126	140114	Q03-ELJA-02	Q03	Elaeocarpus japonicus	Q	8.743299116	2227.497	445.4039664	0.305
127	140115	Q03-ILFI-01	Q03	Ilex ficoidea	Q	9.086335349	1395.137333	491.7451706	0.271666667
128	140116	Q03-CYSE-03	Q03	Cyclobalanopsis sessilifolia	Q	8.183457865	1985.201	460.2245528	0.456666661
129	140117	Q03-ILGO-03	Q03	Ilex goshiensis	Q	12.94807924	583.8671667	392.9079705	0.32416667
130	140118	Q03-LIEL-01	Q03	Litsea elongata v. mushaensis	Q	17.55041772	1255.639	407.8178989	0.244999997
131	140119	Q03-LIAC-02	Q03	Litsea acuminata	Q	8.57925034	2024.846	537.2215969	0.325833338
132	140120	Q03-MATH-02	Q03	Machilus thunbergii	Q	7.987503321	1355.394667	496.753898	0.30916667
133	140121	Q03-NEAC-03	Q03	Neolitsea aciculata	Q	15.54486066	2521.436667	458.1145383	0.201666666
134	140122	Q03-PRPH-04	Q03	Prunus phaeosticta	Q	12.20577423	1548.930333	420.6993533	0.281666668
